sample_index,roi_name,patch_index,input_times,target_time,input_coverages,average_input_coverage,target_coverage,union_coverage,difficulty_score
125,ROIs2017/32,125,"21,27,7",0,"0.090668,0.054672,0.068527",0.0712890625,0.0,0.20892333984375,0.20892333984375
140,ROIs2017/32,140,"9,7,21",0,"0.067490,0.096710,0.106201",0.0901336669921875,0.0,0.234100341796875,0.234100341796875
95,ROIs2017/32,95,"22,21,7",0,"0.055603,0.111938,0.173172",0.1135711669921875,0.0,0.2947540283203125,0.2947540283203125
151,ROIs2017/32,151,"27,26,21",0,"0.167068,0.074280,0.090836",0.11072794596354167,0.0,0.2971649169921875,0.2971649169921875
220,ROIs2017/32,220,"19,17,22",3,"0.085098,0.113464,0.205536",0.13469950358072916,0.0,0.3119354248046875,0.3119354248046875
20,ROIs2017/32,20,"20,21,22",0,"0.082352,0.088028,0.172302",0.114227294921875,0.0,0.3236236572265625,0.3236236572265625
107,ROIs2017/32,107,"26,7,17",0,"0.079254,0.086273,0.181732",0.115753173828125,0.0,0.327484130859375,0.327484130859375
89,ROIs2017/32,89,"19,27,22",0,"0.124100,0.109344,0.117783",0.11707560221354167,0.0,0.329315185546875,0.329315185546875
102,ROIs2017/32,102,"17,21,16",0,"0.204483,0.103455,0.052444",0.12012736002604167,0.0,0.33197021484375,0.33197021484375
78,ROIs2017/32,78,"27,22,12",0,"0.060379,0.112274,0.190689",0.12111409505208333,0.0,0.3435211181640625,0.3435211181640625
198,ROIs2017/32,198,"16,20,22",0,"0.077789,0.236282,0.117874",0.14398193359375,0.0,0.3627166748046875,0.3627166748046875
232,ROIs2017/32,232,"13,3,5",0,"0.371353,0.000000,0.000000",0.12378438313802083,0.0,0.3713531494140625,0.3713531494140625
73,ROIs2017/32,73,"12,21,22",0,"0.212616,0.131699,0.083344",0.14255269368489584,0.0,0.3960113525390625,0.3960113525390625
195,ROIs2017/32,195,"17,20,21",0,"0.251389,0.132370,0.064011",0.14925638834635416,0.0,0.403289794921875,0.403289794921875
253,ROIs2017/140,15,"5,0,3",13,"0.240356,0.092270,0.119110",0.15057881673177084,0.0,0.409881591796875,0.409881591796875
168,ROIs2017/32,168,"19,23,27",0,"0.164612,0.192764,0.175186",0.177520751953125,0.0,0.4314422607421875,0.4314422607421875
54,ROIs2017/32,54,"23,22,27",0,"0.295319,0.062271,0.193069",0.18355305989583334,0.0,0.435821533203125,0.435821533203125
50,ROIs2017/32,50,"19,26,12",0,"0.137436,0.379852,0.076202",0.1978302001953125,0.0,0.442901611328125,0.442901611328125
173,ROIs2017/32,173,"17,26,23",0,"0.212692,0.179337,0.235992",0.20934041341145834,0.0,0.4591522216796875,0.4591522216796875
67,ROIs2017/32,67,"21,19,17",0,"0.159790,0.193344,0.166779",0.17330423990885416,0.0,0.4656524658203125,0.4656524658203125
82,ROIs2017/32,82,"7,17,27",0,"0.300842,0.058289,0.161560",0.17356363932291666,0.0,0.4785003662109375,0.4785003662109375
28,ROIs2017/32,28,"17,19,26",0,"0.132812,0.380005,0.190109",0.23430887858072916,0.0,0.479736328125,0.479736328125
228,ROIs2017/32,228,"13,20,22",0,"0.417496,0.100662,0.136734",0.21829732259114584,0.0,0.5023651123046875,0.5023651123046875
225,ROIs2017/32,225,"27,13,22",0,"0.213760,0.267746,0.113861",0.198455810546875,0.0,0.507415771484375,0.507415771484375
137,ROIs2017/32,137,"23,25,6",0,"0.409332,0.181244,0.061310",0.21729532877604166,0.0,0.507659912109375,0.507659912109375
97,ROIs2017/32,97,"19,23,25",3,"0.145599,0.182419,0.316055",0.214691162109375,0.0,0.5142974853515625,0.5142974853515625
116,ROIs2017/32,116,"22,17,7",0,"0.305328,0.128281,0.250137",0.22791544596354166,0.0,0.5169830322265625,0.5169830322265625
13,ROIs2017/32,13,"22,20,26",0,"0.165695,0.295639,0.165833",0.20905558268229166,0.0,0.5279083251953125,0.5279083251953125
135,ROIs2017/32,135,"21,27,22",0,"0.162216,0.103851,0.309418",0.19182840983072916,0.0,0.5319976806640625,0.5319976806640625
14,ROIs2017/32,14,"19,21,12",0,"0.211884,0.388962,0.055801",0.21888224283854166,0.0,0.539642333984375,0.539642333984375
221,ROIs2017/32,221,"10,6,19",16,"0.068848,0.296677,0.281250",0.2155914306640625,0.0,0.545501708984375,0.545501708984375
230,ROIs2017/32,230,"22,2,6",0,"0.152481,0.323486,0.234802",0.2369232177734375,0.0,0.5498199462890625,0.5498199462890625
40,ROIs2017/32,40,"10,23,17",0,"0.139420,0.204605,0.421341",0.2551218668619792,0.0,0.562774658203125,0.562774658203125
83,ROIs2017/32,83,"7,22,26",0,"0.411789,0.241226,0.147751",0.2669219970703125,0.0,0.5841217041015625,0.5841217041015625
86,ROIs2017/32,86,"17,21,19",0,"0.104263,0.123917,0.503387",0.24385579427083334,0.0,0.584930419921875,0.584930419921875
53,ROIs2017/32,53,"21,19,7",0,"0.388428,0.231140,0.114029",0.24453226725260416,0.0,0.5888214111328125,0.5888214111328125
194,ROIs2017/32,194,"24,22,17",0,"0.157166,0.352753,0.361588",0.2905019124348958,0.0,0.603485107421875,0.603485107421875
118,ROIs2017/32,118,"20,17,21",0,"0.457230,0.098343,0.136230",0.23060099283854166,0.0,0.60894775390625,0.60894775390625
122,ROIs2017/32,122,"7,19,6",0,"0.129669,0.567078,0.109879",0.2688751220703125,0.0,0.6169281005859375,0.6169281005859375
42,ROIs2017/32,42,"21,23,12",0,"0.063110,0.368332,0.312759",0.24806722005208334,0.0,0.62030029296875,0.62030029296875
180,ROIs2017/32,180,"23,17,27",0,"0.262756,0.468735,0.097031",0.2761739095052083,0.0,0.6259002685546875,0.6259002685546875
191,ROIs2017/32,191,"7,27,25",0,"0.552887,0.088730,0.139435",0.2603505452473958,0.0,0.6304779052734375,0.6304779052734375
251,ROIs2017/140,13,"0,11,18",14,"0.254562,0.453644,0.166626",0.2916107177734375,0.0,0.633331298828125,0.633331298828125
204,ROIs2017/32,204,"27,7,19",3,"0.491898,0.470749,0.188507",0.3837178548177083,0.0,0.6354522705078125,0.6354522705078125
103,ROIs2017/32,103,"22,7,21",0,"0.527420,0.103668,0.212570",0.281219482421875,0.0,0.638824462890625,0.638824462890625
152,ROIs2017/32,152,"23,26,17",0,"0.531097,0.097244,0.189133",0.272491455078125,0.0,0.657135009765625,0.657135009765625
176,ROIs2017/32,176,"21,27,26",0,"0.164948,0.522522,0.058716",0.24872843424479166,0.0,0.6572113037109375,0.6572113037109375
69,ROIs2017/32,69,"26,21,7",0,"0.389603,0.194138,0.182846",0.2555287679036458,0.0,0.6576690673828125,0.6576690673828125
16,ROIs2017/32,16,"20,17,21",0,"0.096146,0.327911,0.418564",0.2808736165364583,0.0,0.6594696044921875,0.6594696044921875
27,ROIs2017/32,27,"7,23,20",0,"0.087280,0.615402,0.053833",0.2521718343098958,0.0,0.6601104736328125,0.6601104736328125
254,ROIs2017/140,16,"5,0,11",3,"0.383301,0.076187,0.461212",0.3069000244140625,0.0,0.662445068359375,0.662445068359375
