sample_index,roi_name,patch_index,input_times,target_time,input_coverages,average_input_coverage,target_coverage,union_coverage,difficulty_score,difficulty,variant_id,rank_position,comparison_file,prediction_file,mae,psnr,ssim
195,ROIs2017/32,195,"17,20,21",0,"0.251389,0.132370,0.064011",0.14925638834635416,0.0,0.403289794921875,0.403289794921875,easy,1,13,comparison_01_sample_0195.png,prediction_13bands_01_sample_0195.npy,0.038919948041439056,24.98939507925934,0.823452679016279
82,ROIs2017/32,82,"7,17,27",0,"0.300842,0.058289,0.161560",0.17356363932291666,0.0,0.4785003662109375,0.4785003662109375,easy,2,20,comparison_02_sample_0082.png,prediction_13bands_02_sample_0082.npy,0.018986694514751434,31.445248002370988,0.9060526758447257
135,ROIs2017/32,135,"21,27,22",0,"0.162216,0.103851,0.309418",0.19182840983072916,0.0,0.5319976806640625,0.5319976806640625,easy,3,28,comparison_03_sample_0135.png,prediction_13bands_03_sample_0135.npy,0.025619057938456535,28.39430216830102,0.8392592346030483
53,ROIs2017/32,53,"21,19,7",0,"0.388428,0.231140,0.114029",0.24453226725260416,0.0,0.5888214111328125,0.5888214111328125,easy,4,35,comparison_04_sample_0053.png,prediction_13bands_04_sample_0053.npy,0.020664386451244354,30.868673548562676,0.8591301176276791
251,ROIs2017/140,13,"0,11,18",14,"0.254562,0.453644,0.166626",0.2916107177734375,0.0,0.633331298828125,0.633331298828125,easy,5,42,comparison_05_sample_0251.png,prediction_13bands_05_sample_0251.npy,0.034910913556814194,26.725608660304736,0.8808211457242531
27,ROIs2017/32,27,"7,23,20",0,"0.087280,0.615402,0.053833",0.2521718343098958,0.0,0.6601104736328125,0.6601104736328125,easy,6,49,comparison_06_sample_0027.png,prediction_13bands_06_sample_0027.npy,0.024440091103315353,29.844463228977766,0.8705120017861355
201,ROIs2017/32,201,"21,16,25",3,"0.325714,0.073273,0.549652",0.3162129720052083,0.0,0.6852264404296875,0.6852264404296875,easy,7,57,comparison_07_sample_0201.png,prediction_13bands_07_sample_0201.npy,0.05538912117481232,22.261977391868363,0.6930059856032483
63,ROIs2017/32,63,"17,22,27",0,"0.316238,0.628967,0.161606",0.3689371744791667,0.0,0.7108306884765625,0.7108306884765625,easy,8,64,comparison_08_sample_0063.png,prediction_13bands_08_sample_0063.npy,0.028533797711133957,28.827000893326357,0.8614581043269176
208,ROIs2017/32,208,"24,14,22",0,"0.327957,0.696381,0.148727",0.391021728515625,0.0,0.8304595947265625,0.8304595947265625,medium,1,102,comparison_01_sample_0208.png,prediction_13bands_01_sample_0208.npy,0.03265834599733353,26.25051898699811,0.8629147768014819
206,ROIs2017/32,206,"13,7,22",3,"0.764771,0.065369,0.126068",0.3187357584635417,0.0,0.8447723388671875,0.8447723388671875,medium,2,109,comparison_02_sample_0206.png,prediction_13bands_02_sample_0206.npy,0.028801240026950836,27.451722064161533,0.8415682726535454
179,ROIs2017/32,179,"17,27,13",0,"0.396591,0.179596,0.601807",0.3926645914713542,0.0,0.8538970947265625,0.8538970947265625,medium,3,117,comparison_03_sample_0179.png,prediction_13bands_03_sample_0179.npy,0.03657273203134537,25.36164589077574,0.8414459881333494
111,ROIs2017/32,111,"21,22,23",0,"0.137115,0.645996,0.493637",0.4255828857421875,0.0,0.86676025390625,0.86676025390625,medium,4,124,comparison_04_sample_0111.png,prediction_13bands_04_sample_0111.npy,0.021483631804585457,30.196372067223443,0.8716698662249468
45,ROIs2017/32,45,"19,26,6",0,"0.573547,0.495651,0.228683",0.4326273600260417,0.0,0.8772735595703125,0.8772735595703125,medium,5,131,comparison_05_sample_0045.png,prediction_13bands_05_sample_0045.npy,0.037647511810064316,24.896752484937885,0.8562590140400583
146,ROIs2017/32,146,"20,17,27",0,"0.542557,0.560181,0.533630",0.5454559326171875,0.0,0.8851165771484375,0.8851165771484375,medium,6,138,comparison_06_sample_0146.png,prediction_13bands_06_sample_0146.npy,0.040121473371982574,23.93708293354259,0.7742615110644209
184,ROIs2017/32,184,"26,22,27",0,"0.712906,0.304230,0.421158",0.47943115234375,0.0,0.8977508544921875,0.8977508544921875,medium,7,146,comparison_07_sample_0184.png,prediction_13bands_07_sample_0184.npy,0.044894155114889145,23.167054390269254,0.7737216531340382
190,ROIs2017/32,190,"19,23,27",0,"0.877655,0.113586,0.166580",0.3859405517578125,0.0,0.9104766845703125,0.9104766845703125,medium,8,153,comparison_08_sample_0190.png,prediction_13bands_08_sample_0190.npy,0.038445983082056046,25.27463392962168,0.8740721546660111
148,ROIs2017/32,148,"22,6,20",0,"0.176559,0.926697,0.515823",0.5396931966145834,0.0,0.9627685546875,0.9627685546875,hard,1,191,comparison_01_sample_0148.png,prediction_13bands_01_sample_0148.npy,0.03031308390200138,27.035361806856915,0.8290961500189985
80,ROIs2017/32,80,"6,23,22",0,"0.608597,0.870209,0.295166",0.5913238525390625,0.0,0.96832275390625,0.96832275390625,hard,2,198,comparison_02_sample_0080.png,prediction_13bands_02_sample_0080.npy,0.024495277553796768,29.416405811526257,0.8844875452633624
149,ROIs2017/32,149,"26,6,17",0,"0.190475,0.929504,0.063492",0.3944905598958333,0.0,0.9732818603515625,0.9732818603515625,hard,3,206,comparison_03_sample_0149.png,prediction_13bands_03_sample_0149.npy,0.03214709088206291,26.70391991986068,0.8474862006433411
241,ROIs2017/140,3,"12,18,6",3,"0.662827,0.311325,0.916672",0.6302744547526041,0.0,0.97735595703125,0.97735595703125,hard,4,213,comparison_04_sample_0241.png,prediction_13bands_04_sample_0241.npy,0.04174519330263138,24.26881132599702,0.7142240580138014
76,ROIs2017/32,76,"26,19,27",0,"0.618423,0.935272,0.483444",0.679046630859375,0.0,0.986297607421875,0.986297607421875,hard,5,220,comparison_05_sample_0076.png,prediction_13bands_05_sample_0076.npy,0.032037314027547836,27.343002496239194,0.8236179032482464
231,ROIs2017/32,231,"2,17,3",0,"0.882416,0.849991,0.000000",0.5774688720703125,0.0,0.98992919921875,0.98992919921875,hard,6,227,comparison_06_sample_0231.png,prediction_13bands_06_sample_0231.npy,0.015005514957010746,34.01928371426663,0.9348050450328681
245,ROIs2017/140,7,"11,12,23",3,"0.938293,0.214005,0.661209",0.6045023600260416,0.0,0.9966583251953125,0.9966583251953125,hard,7,235,comparison_07_sample_0245.png,prediction_13bands_07_sample_0245.npy,0.028731931000947952,26.90055939006212,0.7957093781330726
239,ROIs2017/140,1,"7,12,23",3,"0.942429,0.730698,0.682205",0.7851104736328125,0.0,0.998626708984375,0.998626708984375,hard,8,242,comparison_08_sample_0239.png,prediction_13bands_08_sample_0239.npy,0.04344817250967026,23.815722614763,0.7090712464751628
