sample_index,roi_name,patch_index,input_times,target_time,average_input_cloud_coverage,maximum_input_cloud_coverage,union_mask_coverage,difficulty_score
0,ROIs2017/32,0,"4,13,11",0,1.0,1.0,1.0,1.0
1,ROIs2017/32,1,"4,13,11",0,1.0,1.0,1.0,1.0
2,ROIs2017/32,2,"4,13,11",0,1.0,1.0,1.0,1.0
3,ROIs2017/32,3,"4,13,11",0,1.0,1.0,1.0,1.0
4,ROIs2017/32,4,"6,4,11",0,1.0,1.0,1.0,1.0
5,ROIs2017/32,5,"2,4,6",0,1.0,1.0,1.0,1.0
6,ROIs2017/32,6,"6,4,11",0,1.0,1.0,1.0,1.0
7,ROIs2017/32,7,"6,4,11",0,1.0,1.0,1.0,1.0
8,ROIs2017/32,8,"6,4,14",0,1.0,1.0,1.0,1.0
9,ROIs2017/32,9,"4,14,13",0,1.0,1.0,1.0,1.0
10,ROIs2017/32,10,"6,4,13",0,1.0,1.0,1.0,1.0
11,ROIs2017/32,11,"1,4,13",0,1.0,1.0,1.0,1.0
12,ROIs2017/32,12,"1,4,13",0,1.0,1.0,1.0,1.0
13,ROIs2017/32,13,"1,4,11",0,1.0,1.0,1.0,1.0
14,ROIs2017/32,14,"1,4,11",0,1.0,1.0,1.0,1.0
15,ROIs2017/32,15,"1,4,11",0,1.0,1.0,1.0,1.0
16,ROIs2017/32,16,"4,14,11",0,1.0,1.0,1.0,1.0
17,ROIs2017/32,17,"4,14,11",0,1.0,1.0,1.0,1.0
18,ROIs2017/32,18,"2,4,13",0,1.0,1.0,1.0,1.0
19,ROIs2017/32,19,"1,2,4",0,1.0,1.0,1.0,1.0
20,ROIs2017/32,20,"2,4,6",0,1.0,1.0,1.0,1.0
21,ROIs2017/32,21,"6,4,11",0,1.0,1.0,1.0,1.0
22,ROIs2017/32,22,"6,4,11",0,1.0,1.0,1.0,1.0
23,ROIs2017/32,23,"1,4,11",0,1.0,1.0,1.0,1.0
24,ROIs2017/32,24,"2,4,11",0,1.0,1.0,1.0,1.0
25,ROIs2017/32,25,"6,4,13",0,1.0,1.0,1.0,1.0
26,ROIs2017/32,26,"4,11,13",0,1.0,1.0,1.0,1.0
27,ROIs2017/32,27,"6,4,11",0,1.0,1.0,1.0,1.0
28,ROIs2017/32,28,"4,14,11",0,1.0,1.0,1.0,1.0
29,ROIs2017/32,29,"1,4,11",0,1.0,1.0,1.0,1.0
30,ROIs2017/32,30,"4,14,11",0,1.0,1.0,1.0,1.0
31,ROIs2017/32,31,"1,4,11",0,1.0,1.0,1.0,1.0
32,ROIs2017/32,32,"1,2,4",0,1.0,1.0,1.0,1.0
33,ROIs2017/32,33,"4,14,13",0,1.0,1.0,1.0,1.0
34,ROIs2017/32,34,"2,4,11",0,1.0,1.0,1.0,1.0
35,ROIs2017/32,35,"4,11,14",0,1.0,1.0,1.0,1.0
36,ROIs2017/32,36,"1,4,11",0,1.0,1.0,1.0,1.0
37,ROIs2017/32,37,"4,14,11",0,1.0,1.0,1.0,1.0
38,ROIs2017/32,38,"4,14,11",0,1.0,1.0,1.0,1.0
39,ROIs2017/32,39,"1,4,6",0,1.0,1.0,1.0,1.0
40,ROIs2017/32,40,"1,4,13",0,1.0,1.0,1.0,1.0
41,ROIs2017/32,41,"1,4,11",0,1.0,1.0,1.0,1.0
42,ROIs2017/32,42,"1,4,11",0,1.0,1.0,1.0,1.0
43,ROIs2017/32,43,"4,14,11",0,1.0,1.0,1.0,1.0
44,ROIs2017/32,44,"4,14,11",0,1.0,1.0,1.0,1.0
45,ROIs2017/32,45,"1,4,11",0,1.0,1.0,1.0,1.0
46,ROIs2017/32,46,"4,14,11",0,1.0,1.0,1.0,1.0
47,ROIs2017/32,47,"4,14,11",0,1.0,1.0,1.0,1.0
48,ROIs2017/32,48,"4,14,11",0,1.0,1.0,1.0,1.0
49,ROIs2017/32,49,"2,4,13",0,1.0,1.0,1.0,1.0
50,ROIs2017/32,50,"4,14,11",0,1.0,1.0,1.0,1.0
51,ROIs2017/32,51,"4,14,11",0,1.0,1.0,1.0,1.0
52,ROIs2017/32,52,"4,14,11",0,1.0,1.0,1.0,1.0
53,ROIs2017/32,53,"1,4,6",0,1.0,1.0,1.0,1.0
54,ROIs2017/32,54,"1,4,11",0,1.0,1.0,1.0,1.0
55,ROIs2017/32,55,"1,4,11",0,1.0,1.0,1.0,1.0
56,ROIs2017/32,56,"4,14,11",0,1.0,1.0,1.0,1.0
57,ROIs2017/32,57,"4,14,11",0,1.0,1.0,1.0,1.0
58,ROIs2017/32,58,"2,4,11",0,1.0,1.0,1.0,1.0
59,ROIs2017/32,59,"4,14,11",0,1.0,1.0,1.0,1.0
60,ROIs2017/32,60,"4,14,11",0,1.0,1.0,1.0,1.0
61,ROIs2017/32,61,"4,14,11",0,1.0,1.0,1.0,1.0
62,ROIs2017/32,62,"4,14,11",0,1.0,1.0,1.0,1.0
63,ROIs2017/32,63,"2,4,11",0,1.0,1.0,1.0,1.0
64,ROIs2017/32,64,"2,4,11",0,1.0,1.0,1.0,1.0
65,ROIs2017/32,65,"2,4,11",0,1.0,1.0,1.0,1.0
66,ROIs2017/32,66,"4,14,11",0,1.0,1.0,1.0,1.0
67,ROIs2017/32,67,"1,4,11",0,1.0,1.0,1.0,1.0
68,ROIs2017/32,68,"1,4,11",0,1.0,1.0,1.0,1.0
69,ROIs2017/32,69,"1,4,6",0,1.0,1.0,1.0,1.0
70,ROIs2017/32,70,"6,4,13",0,1.0,1.0,1.0,1.0
71,ROIs2017/32,71,"4,14,11",0,1.0,1.0,1.0,1.0
72,ROIs2017/32,72,"2,4,11",0,1.0,1.0,1.0,1.0
73,ROIs2017/32,73,"2,4,11",0,1.0,1.0,1.0,1.0
74,ROIs2017/32,74,"2,4,11",0,1.0,1.0,1.0,1.0
75,ROIs2017/32,75,"2,4,11",0,1.0,1.0,1.0,1.0
76,ROIs2017/32,76,"1,2,4",0,1.0,1.0,1.0,1.0
77,ROIs2017/32,77,"1,4,11",0,1.0,1.0,1.0,1.0
78,ROIs2017/32,78,"1,2,4",0,1.0,1.0,1.0,1.0
79,ROIs2017/32,79,"2,4,11",0,1.0,1.0,1.0,1.0
80,ROIs2017/32,80,"4,14,11",0,1.0,1.0,1.0,1.0
81,ROIs2017/32,81,"1,4,13",0,1.0,1.0,1.0,1.0
82,ROIs2017/32,82,"1,4,11",0,1.0,1.0,1.0,1.0
83,ROIs2017/32,83,"1,4,11",0,1.0,1.0,1.0,1.0
84,ROIs2017/32,84,"6,4,13",0,1.0,1.0,1.0,1.0
85,ROIs2017/32,85,"6,4,13",0,1.0,1.0,1.0,1.0
86,ROIs2017/32,86,"6,4,11",0,1.0,1.0,1.0,1.0
