sample,roi_name,patch_index,mae,psnr,ssim
0,ROIs2017/22,0,0.3220331072807312,9.466431139593238,0.10144660930794575
1,ROIs2017/22,1,0.3387503921985626,9.13566741896711,0.12568492268390272
2,ROIs2017/22,2,0.30690890550613403,9.769020148081315,0.09501726153600229
3,ROIs2017/22,3,0.30367934703826904,9.806168070935358,0.08034981631641337
4,ROIs2017/22,4,0.3179095983505249,9.524107241621557,0.09968836434968344
5,ROIs2017/22,5,0.33212709426879883,9.283623240425143,0.1129130534725484
6,ROIs2017/22,6,0.32120463252067566,9.500606835503106,0.11054631767617956
7,ROIs2017/22,7,0.3303021788597107,9.312457089093822,0.11607670967162179
8,ROIs2017/22,8,0.3479272425174713,8.929725463708277,0.12371219457859693
9,ROIs2017/22,9,0.3374546468257904,9.183513176044228,0.1455567359130175
